partusn,parteid,partstatus,qrtoken,team_id,payment_status
1BF24CS201,69,false,cc591c8a-f160-462d-9041-51d840a3861d,,free
1BM22BT019,69,false,5a648009-9b08-4c1f-bb41-0a48ac8264d5,,free
1BM22BT045,69,false,30cb20d1-32f6-415e-b79c-db77a179680d,,free
1BM22BT055,69,false,605ea217-3067-47f6-9e00-fa8be7943de0,,free
1BM22EE045,69,false,bc901426-1b13-4d30-844b-6dac85f8a3b8,,free
1BM23BT041,69,false,ab239299-578d-4bb3-9260-7067eab9ce37,,free
1BM23BT060,69,false,9b3fbc2b-34e8-4e53-8251-09cd069700b0,,free
1BM23BT065,69,false,ced5e229-afc4-4f70-966c-9cf570a5918b,,free
1BM23IS000,69,false,1fb75831-e489-45cc-a370-9b2060ffea86,,free
1BM23IS255,69,false,e9f7825d-a2a2-42a1-afca-7847b573cd28,,free
1BM23IS256,69,true,1a70bbc3-ebce-40c9-9367-e53522b182f0,,free
1BM24BT001,69,false,47babc76-9ebc-4838-b8a2-8a6a59b10219,,free
1BM24BT003,69,false,a8cc6432-49f0-4cac-b5c5-fac2ce4abf29,,free
1BM24BT007,69,false,eacc227d-a1fb-4a97-8d55-93931c084eec,,free
1BM24BT014,69,false,6905898a-fa8a-425b-8042-aef23be7a0c9,,free
1BM24BT020,69,false,d9938190-0793-4615-827a-0b99dd197746,,free
1BM24BT022,69,false,32b69c22-fe79-47a3-939a-e5dcd4cf4a0e,,free
1BM24BT024,69,false,389769e2-ce5a-4c8e-8884-1788bc339960,,free
1BM24EE046,69,false,80588c40-ae6c-4b8d-97fd-24e6e074535e,,free
1BM25BT002,69,false,7d96378e-6728-424d-b85a-28b20b488faa,,free
1BM25BT003,69,false,4a29c621-9ac2-4f8b-849f-94ab673e918f,,free
1BM25BT005,69,false,5f4ad462-f160-407e-8fde-bb679d33dc6a,,free
1BM25BT007,69,false,e90e6ce3-05ef-4326-96b1-36c8f6c6379a,,free
1BM25BT009,69,false,9bd0e491-517c-49fc-a266-813cf42c9951,,free
1BM25BT018,69,false,d85a132e-55cd-4a4f-b686-53bff4854792,,free
1BM25BT031,69,false,7497904b-14e0-48ff-8245-091c2d535345,,free
1BM25BT044,69,false,e65b2d20-eec4-48ad-b8d1-b8c439f3e38d,,free
1BM25EE048,69,false,c309e8cc-7c92-48f9-b80c-9ed4afd0a005,,free
1RV23CD063,69,false,c24b4f03-0149-4881-ae2e-1cfe93ee33a8,,free
